Timestamp,Science Teacher Male?,Student gender male?,Teacher same gender as student?,Morning class?,High School Year,6. How old are you?,Grade in Class,GPA,Abscences,Standards based grading used?,11. How often do you have homework?,12. Do you keep up with your homework and turn assignments in on time?,"13. How often do you work with groups/friends? (this is not asking about group projects, it's about who you generally do your work with)",14. What is the phone policy like in your class?,15. How often do you have group projects?,Essays written,Seating chart used?,Does student sit in desk?,19. What is the usual level of noise in your classroom?,20. Do you study for tests?,21. How many students are in your class?,Binder Checks?,23. What is your teacher's late work policy?,Student Teacher Present?,25. Do students need to raise their hands to talk?,26. How often do you usually talk in your science class?,Hats/Hoods allowed to be worn?,Class pet present?,Dimmed brightness?,Does student like teacher?,31. Do you enjoy your science class?,32. How strict is your science teacher with grading?,33. How much homework does your science teacher give you?,34. Does your teacher allow you to eat food whenever you want to? (besides during tests),35. Does your teacher provide students with snacks?,36. How is the temperature of the room most of the time?,37. How often do you read books outside of class? (comics included),38. Do one of your parents/guardians have a degree?,"39. Are you the youngest, middle, or oldest sibling in your family?",40. What is your current level of happiness in general?,Student hours of sleep,42. What statement best describes your family's income?
1/9/2023 14:55,0,0,1,0,2,16,93.37%,3.75,7,1,Every few days,Always,Most of the time I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,2,1,0,A few people talk together,Most of the time I will study,22,1,They accept late work and do not take any points off for assignments being late,1,"Yes, I need to raise my hand and be called on in order to speak.",Once in a while,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A decent amount, I don't struggle to stay on top of things.",Yes,Never,Ideal temperature,I read every chance I can get,One parent/guardian has a degree,I'm the oldest,I have my ups and downs,5,"Our income covers our needs and a little more, I feel good about it."
1/9/2023 14:55,0,0,1,0,2,15,73.39%,2.14,10,1,Once every few weeks,Most of the time,Most of the time I work with other people,"Strict, I am told to put my phone away whenever it's out.",Every week,1,1,0,A few people talk together,Most of the time I will study,22,0,They accept late work but take off points for assignments being late,1,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",Multiple times every period,1,0,1,1,Most of the time,"They are not very strict, but I need to work a little hard here and there.","A little, they don't give us a lot to do.",Yes,Rarely,Ideal temperature,I read every chance I can get,One parent/guardian has a degree,I'm in the middle,I feel down a decent amount of time,3,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/9/2023 14:57,0,0,1,0,2,16,89.85%,3.5,0,1,Once every few weeks,Most of the time,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",Every other week,2,1,0,A few people talk together,Sometimes I'll study,23,1,They accept late work and do not take any points off for assignments being late,1,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",I never talk in class,1,0,1,1,Most of the time,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A little, they don't give us a lot to do.",Yes,Sometimes,Ideal temperature,I read books every now and then,One parent/guardian has a degree,I'm in the middle,I have my ups and downs,9,"Our income just barely covers our needs, I often worry about it."
1/9/2023 15:42,0,0,1,0,2,16,87.41%,4,13,1,Once every few weeks,Always,I rarely work with people,"Strict, I am told to put my phone away whenever it's out.",Never,1,1,0,One or two people talk ocassionally,I always study,17,0,They accept late work and do not take any points off for assignments being late,1,"Yes, I need to raise my hand and be called on in order to speak.",A couple times every period,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",Yes,Sometimes,A little chilly,I never read books,Both parents/guardians have a degree,I'm the only child,I am happy most of the time,8,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 15:42,0,0,1,0,2,15,62.94%,3.5,10,1,Once every few weeks,Sometimes,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",A couple times in a semester,1,1,0,One or two people talk ocassionally,Sometimes I'll study,17,0,They accept late work and do not take any points off for assignments being late,1,"Yes, I need to raise my hand and be called on in order to speak.",A couple times every period,1,0,1,1,Most of the time,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"None, they do not assign homework.",Yes,Most of the time,Ideal temperature,I rarely read books,Both parents/guardians have a degree,I'm the youngest,I have my ups and downs,5,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 15:45,0,0,1,1,2,16,96.41%,4,3,1,Daily,Always,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",Once a month,1,1,0,Lots of people talk and it's very loud,I always study,18,0,They accept late work and do not take any points off for assignments being late,1,"Yes, I need to raise my hand and be called on in order to speak.",Once in a while,1,0,1,1,Always,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",Yes,Sometimes,A little hot,I read every chance I can get,Neither parent/guardian has a degree,I'm the oldest,I am always feeling down,4,"Our income covers our needs and a little more, I feel good about it."
1/9/2023 15:45,0,0,1,0,2,15,88.64%,4,26,1,Once every few weeks,Most of the time,Most of the time I work with other people,"Strict, I am told to put my phone away whenever it's out.",Once a month,1,1,0,A few people talk together,I never study,20,0,They accept late work and do not take any points off for assignments being late,1,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",A couple times every period,1,0,1,1,Sometimes,"It takes some effort to get a good grade, they grade fairly.","None, they do not assign homework.",Yes,Rarely,Ideal temperature,I read frequently in my free time,Both parents/guardians have a degree,I'm the oldest,I am happy most of the time,8,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 15:47,0,0,1,0,2,16,87.27%,3.7,7,1,Once every few weeks,Most of the time,I always work with other people,"Strict, I am told to put my phone away whenever it's out.",Every week,1,1,0,A few people talk together,Most of the time I will study,15,0,They accept late work and do not take any points off for assignments being late,1,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",A couple times every period,1,0,1,1,Most of the time,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"None, they do not assign homework.",Yes,Never,Ideal temperature,I read books every now and then,One parent/guardian has a degree,I'm in the middle,I have my ups and downs,9,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 15:47,0,0,1,0,2,15,96.82%,4,9,1,Once every few weeks,Most of the time,I rarely work with people,"Strict, I am told to put my phone away whenever it's out.",A couple times in a semester,1,1,0,Lots of people talk and it's very loud,Sometimes I'll study,14,0,They accept late work and do not take any points off for assignments being late,1,"Yes, I need to raise my hand and be called on in order to speak.",A couple times every period,1,0,1,1,Sometimes,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",Yes,Never,Ideal temperature,I rarely read books,Both parents/guardians have a degree,I'm the oldest,I feel down a decent amount of time,7,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 15:48,0,1,0,0,2,15,93.05%,3.4286,2,1,Once a week,Always,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",Every other week,3,1,0,Lots of people talk and it's very loud,Sometimes I'll study,17,0,They accept late work and do not take any points off for assignments being late,1,"Yes, I need to raise my hand and be called on in order to speak.",A couple times every period,1,0,1,1,Always,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",Yes,Rarely,Ideal temperature,I read books every now and then,Neither parent/guardian has a degree,I'm the youngest,I am happy most of the time,6,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 15:51,0,0,1,0,2,15,87.35%,NULL,7,1,Once every few weeks,Always,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",Once a month,2,1,1,Lots of people talk and it's very loud,I always study,17,0,They accept late work and do not take any points off for assignments being late,1,"Yes, I need to raise my hand and be called on in order to speak.",Multiple times every period,1,0,0,1,Most of the time,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"None, they do not assign homework.",Yes,Never,Ideal temperature,I never read books,Both parents/guardians have a degree,I'm in the middle,I am happy most of the time,7,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 17:51,1,0,0,1,1,15,80.60%,NULL,6,1,Once every few weeks,Always,I rarely work with people,"Strict, I am told to put my phone away whenever it's out.",Every other week,2,1,1,A few people talk together,I always study,25,1,They accept late work but take off points for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",A couple times every period,1,1,1,1,Most of the time,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A little, they don't give us a lot to do.",Yes,Never,Ideal temperature,I never read books,Neither parent/guardian has a degree,I'm the youngest,I have my ups and downs,9,"Our income covers our needs and a little more, I feel good about it."
1/9/2023 19:08,1,0,0,1,1,14,102.14%,NULL,5,1,Every few days,Always,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",A couple times in a semester,1,1,1,A few people talk together,I always study,21,0,They accept late work and do not take any points off for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",A couple times every period,1,1,0,1,Always,"It takes some effort to get a good grade, they grade fairly.","A decent amount, I don't struggle to stay on top of things.",Yes,Rarely,Ideal temperature,I read frequently in my free time,Both parents/guardians have a degree,I'm the oldest,I am happy most of the time,8,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 19:20,1,0,0,0,1,14,97.72%,NULL,10,1,Once a week,Always,I rarely work with people,"Strict, I am told to put my phone away whenever it's out.",Every other week,2,1,0,Lots of people talk and it's very loud,I always study,24,1,They accept late work but take off points for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",Once in a while,1,1,0,1,Sometimes,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A decent amount, I don't struggle to stay on top of things.",Yes,Never,A little hot,I read frequently in my free time,Both parents/guardians have a degree,I'm in the middle,I feel down a decent amount of time,9,"Our income covers our needs and more, I don't need to worry about money."
1/10/2023 13:32,1,0,0,0,1,15,50%,NULL,21,1,Daily,Rarely,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",Every week,4,1,0,One or two people talk ocassionally,Sometimes I'll study,24,0,They accept late work but take off points for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",Once in a while,1,1,0,1,Sometimes,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",Yes,Rarely,A little chilly,I read every chance I can get,Both parents/guardians have a degree,I'm in the middle,I feel down a decent amount of time,6,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/10/2023 20:25,1,0,0,0,1,14,81.66%,NULL,6,1,Once a week,Most of the time,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",Every week,2,1,0,A few people talk together,Sometimes I'll study,25,0,They accept late work but take off points for assignments being late,0,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",A couple times every period,1,1,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",Yes,Never,A little hot,I read books every now and then,Both parents/guardians have a degree,I'm the oldest,I have my ups and downs,8,"Our income covers our needs and a little more, I feel good about it."
1/11/2023 10:28,0,0,1,1,2,16,97.86%,4,12,1,Once a week,Most of the time,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",A couple times in a semester,1,1,0,A few people talk together,I always study,20,0,They accept late work and do not take any points off for assignments being late,1,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",Once in a while,1,0,1,1,Sometimes,"As long as I complete the work, I get a good grade.","A little, they don't give us a lot to do.",Yes,Rarely,A little hot,I read books every now and then,Neither parent/guardian has a degree,I'm in the middle,I am happy most of the time,7,"Our income covers our needs and more, I don't need to worry about money."
1/11/2023 19:10,1,0,0,1,1,15,63.36%,NULL,12,1,Daily,Sometimes,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",A couple times in a semester,3,1,0,A few people talk together,Most of the time I will study,23,0,They accept late work but take off points for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",Multiple times every period,1,1,0,1,Sometimes,They are very strict with what they want and it's hard to get a good grade.,"A lot, I can barely keep up.",Yes,Never,Ideal temperature,I rarely read books,One parent/guardian has a degree,I'm in the middle,I feel down a decent amount of time,6,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/12/2023 15:28,1,0,0,0,1,14,89.69%,NULL,5,1,Never,Most of the time,Most of the time I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Every week,2,1,0,A few people talk together,I always study,18,0,They accept late work and do not take any points off for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",A couple times every period,1,1,0,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",Yes,Rarely,Ideal temperature,I read books every now and then,Both parents/guardians have a degree,I'm the oldest,I am happy most of the time,8,"Our income covers our needs and a little more, I feel good about it."
1/12/2023 15:49,1,0,0,1,4,17,85.38%,4,11,1,Daily,Most of the time,I rarely work with people,"Somewhat strict, I am allowed on my phone outside of lectures.",Never,1,1,0,A few people talk together,I always study,11,0,They accept late work and do not take any points off for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",A couple times every period,1,0,0,1,Sometimes,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A lot, I can barely keep up.",Yes,Never,Ideal temperature,I read frequently in my free time,Both parents/guardians have a degree,I'm the oldest,I have my ups and downs,5,"Our income covers our needs and a little more, I feel good about it."
1/12/2023 15:50,1,0,0,1,4,17,97.31%,4,6,1,Daily,Always,I rarely work with people,"Strict, I am told to put my phone away whenever it's out.",Once a month,1,1,0,"No one talks to each other, it's very quiet",I always study,15,0,They accept late work but take off points for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",Once in a while,1,0,0,0,Most of the time,They are very strict with what they want and it's hard to get a good grade.,"A lot, I can barely keep up.",No,Never,A little chilly,I read books every now and then,Both parents/guardians have a degree,I'm the youngest,I have my ups and downs,7,"Our income covers our needs and a little more, I feel good about it."
1/12/2023 15:51,0,0,1,0,4,18,67.26%,3.3333,6,1,Once a week,Most of the time,I always work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,4,0,0,Lots of people talk and it's very loud,I never study,19,0,They accept late work but take off points for assignments being late,0,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",Multiple times every period,1,1,1,1,Sometimes,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A little, they don't give us a lot to do.",Yes,All the time,A little chilly,I read frequently in my free time,Neither parent/guardian has a degree,I'm in the middle,I am happy most of the time,7,"Our income covers our needs and more, I don't need to worry about money."
1/12/2023 15:51,0,0,1,0,4,17,67.61%,3.4545,13,1,Every few days,Most of the time,I rarely work with people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,4,0,0,Lots of people talk and it's very loud,I rarely study,19,0,They accept late work but take off points for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",Multiple times every period,1,1,1,1,Most of the time,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A decent amount, I don't struggle to stay on top of things.",Yes,Most of the time,Ideal temperature,I rarely read books,Neither parent/guardian has a degree,I'm the youngest,I have my ups and downs,6,"Our income covers our needs and a little more, I feel good about it."
1/12/2023 15:52,0,0,1,0,4,18,70.00%,4,6,1,Every few days,Rarely,I rarely work with people,"Very free, I can look at my phone whenever I want to.",A couple times in a semester,3,0,0,Lots of people talk and it's very loud,Sometimes I'll study,18,0,They accept late work but take off points for assignments being late,0,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",Multiple times every period,1,1,1,1,Most of the time,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A lot, I can barely keep up.",Yes,Sometimes,Ideal temperature,I read frequently in my free time,One parent/guardian has a degree,I'm in the middle,I have my ups and downs,7,"Our income covers our needs and more, I don't need to worry about money."
1/12/2023 21:45,1,0,0,1,4,17,97.03%,4,13,1,Never,Most of the time,Most of the time I work with other people,"Very free, I can look at my phone whenever I want to.",Never,1,0,1,A few people talk together,Sometimes I'll study,17,0,They accept late work and do not take any points off for assignments being late,0,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",Multiple times every period,1,0,0,1,Most of the time,"They are not very strict, but I need to work a little hard here and there.","None, they do not assign homework.",Yes,Never,Ideal temperature,I read frequently in my free time,Both parents/guardians have a degree,I'm the oldest,I have my ups and downs,5,"Our income covers our needs and a little more, I feel good about it."
1/12/2023 21:51,0,0,1,0,4,17,76.78%,4,16,1,Never,Never,Sometimes I work with other people,"Very free, I can look at my phone whenever I want to.",Never,4,0,0,Lots of people talk and it's very loud,I never study,17,0,They accept late work and do not take any points off for assignments being late,0,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",Multiple times every period,1,1,1,1,Rarely,"It takes some effort to get a good grade, they grade fairly.","An overwhelming amount, I cannot keep up with it.",Yes,Sometimes,Ideal temperature,I read frequently in my free time,Both parents/guardians have a degree,I'm the oldest,I have my ups and downs,5,"Our income covers our needs and a little more, I feel good about it."
1/13/2023 9:37,1,1,1,1,1,15,46.24%,0,12,1,Every few days,Most of the time,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Once a month,5,1,1,A few people talk together,Sometimes I'll study,23,0,They accept late work but take off points for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",Multiple times every period,1,1,1,1,Sometimes,"It takes some effort to get a good grade, they grade fairly.","A decent amount, I don't struggle to stay on top of things.",Yes,Never,Ideal temperature,I rarely read books,One parent/guardian has a degree,I'm the youngest,I have my ups and downs,4,"Our income covers our needs and a little more, I feel good about it."
1/16/2023 18:28,1,0,0,0,1,14,82.38%,NULL,7,1,Once a week,Always,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",Every other week,2,1,0,A few people talk together,I always study,NULL,0,They accept late work but take off points for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",Multiple times every period,1,1,0,1,Always,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A little, they don't give us a lot to do.",Yes,Rarely,Ideal temperature,I rarely read books,Both parents/guardians have a degree,I'm the only child,I am very happy,8,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/18/2023 20:35,1,0,0,0,1,14,83.45%,NULL,6,1,Every few days,Always,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",Once a month,1,1,1,A few people talk together,I always study,19,0,They accept late work and do not take any points off for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",Once in a while,1,1,0,1,Most of the time,They are very strict with what they want and it's hard to get a good grade.,"A decent amount, I don't struggle to stay on top of things.",No,Never,A little hot,I read books every now and then,Both parents/guardians have a degree,I'm the oldest,I am happy most of the time,8,"Our income covers our needs and more, I don't need to worry about money."
1/19/2023 9:46,0,0,1,1,3,17,91.58%,3.93,4,1,Once a week,Always,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",Every week,1,1,1,A few people talk together,Most of the time I will study,17,0,They accept late work and do not take any points off for assignments being late,0,"No, my teacher has open discussions with students and anyone can talk whenever they want to.",I rarely talk in class,1,1,1,1,Sometimes,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A little, they don't give us a lot to do.",No,Rarely,Ideal temperature,I never read books,One parent/guardian has a degree,I'm in the middle,I am happy most of the time,8,"Our income covers our needs and more, I don't need to worry about money."
1/19/2023 9:46,0,0,1,1,2,16,93.95%,4,0,1,Every few days,Always,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Every other week,1,0,1,One or two people talk ocassionally,Most of the time I will study,17,1,They accept late work and do not take any points off for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",A couple times every period,1,1,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A decent amount, I don't struggle to stay on top of things.",Yes,Rarely,Ideal temperature,I read frequently in my free time,Both parents/guardians have a degree,I'm the only child,I have my ups and downs,8,"Our income covers our needs and more, I don't need to worry about money."
1/19/2023 9:47,0,1,0,1,3,17,79.97%,3.98,5,1,Every few days,Most of the time,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",A couple times in a semester,1,0,1,One or two people talk ocassionally,Most of the time I will study,17,1,They accept late work and do not take any points off for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",Once in a while,1,1,1,1,Sometimes,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",Yes,Rarely,Ideal temperature,I never read books,Neither parent/guardian has a degree,I'm the oldest,I have my ups and downs,6,"Our income covers our needs and more, I don't need to worry about money."
1/19/2023 9:47,0,0,1,1,2,16,90.66%,4,8,1,Once every few weeks,Always,Sometimes I work with other people,"Strict, I am told to put my phone away whenever it's out.",Once a month,1,0,1,One or two people talk ocassionally,I always study,17,0,They accept late work and do not take any points off for assignments being late,0,"Yes, I need to raise my hand and be called on in order to speak.",Once in a while,1,1,1,1,Always,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A little, they don't give us a lot to do.",Yes,Never,Ideal temperature,I read books every now and then,Neither parent/guardian has a degree,I'm in the middle,I am happy most of the time,7,"Our income covers our needs and more, I don't need to worry about money."
