Timestamp,1. What gender is your English teacher?,2. What is your gender?,3. Is your English teacher's gender the same as your gender?,"4. On a 7-period day, is your English class before or after lunch?",5. What high school year are you in?,6. How old are you?,"7. What is your exact grade in the class? (to the hundredths place, for example 86.41%)","8. What is your cumulative GPA so far? (to the hundredths place, for example 3.37. If you are a freshman, type in 0.00)",9. How many absences do you have in English class for the semester?,10. Does your teacher use standards based grading? (Standards based grading is when 85% and above is considered an A and your teacher grades you from 1-4 on assignments),11. How often do you have homework?,12. Do you keep up with your homework and turn assignments in on time?,"13. How often do you work with groups/friends? (this is not asking about group projects, it's about who you generally do your work with)",14. What is the phone policy like in your class?,15. How often do you have group projects?,16. How many books have you read this semester in English class?,17. How many essays have you written for English so far?,18. Do you sit in a seating chart?,19. What do you sit in? (Desks that are pushed together to form partners count as desks),20. What is the usual level of noise in your classroom?,21. How many students are in your class?,22. Do you study for tests?,23. Does your teacher perform binder checks?,24. What is your teacher's late work policy?,25. Has there been a student teacher or teacher's assistant in your classroom this semester?,26. Do students need to raise their hands to talk?,27. How often do you usually talk in English class?,28. Are hats or hoods allowed to be worn in the classroom?,"29. Is there a class pet in your classroom? (This includes animals you cannot touch, like snakes.)",30. Does your teacher keep the lights on full brightness or do they dim them in the classroom?,31. Do you like your teacher?,32. Do you enjoy your English class?,33. How strict is your English teacher with grading?,34. How much homework does your English teacher give you?,35. Does your teacher allow you to eat food whenever you want to? (besides during tests),36. Does your teacher provide students with snacks?,37. How is the temperature of the room most of the time?,38. How often do you read books outside of class? (comics included),39. Do one of your parents/guardians have a degree?,"40. Are you the youngest, middle, or oldest sibling in your family?",41. What is your current level of happiness in general?,42. How many hours of sleep do you usually get each night?,43. What statement best describes your family's income?
1/6/2023 20:09:01,1,0,0,1,3,16,83.85%,3.81,8,1,Every few days,Most of the time,Sometimes I work with other people,"Very free, I can look at my phone whenever I want to.",Once a month,1,2,0,1,A few people talk together,24,I always study,0,They accept late work and do not take any points off for assignments being late,0,0,Once in a while,1,0,1,1,Sometimes,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A decent amount, I don't struggle to stay on top of things.",1,Rarely,A little chilly,I never read books,Both parents/guardians have a degree,I'm the youngest,I have my ups and downs,7,"Our income covers our needs and more, I don't need to worry about money."
1/6/2023 21:53:35,1,0,0,0,3,17,85.41%,3.86,11,1,Every few days,Most of the time,Most of the time I work with other people,"Very free, I can look at my phone whenever I want to.",Every other week,1,2,0,1,A few people talk together,17,Most of the time I will study,0,They accept late work and do not take any points off for assignments being late,0,0,A couple times every period,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A decent amount, I don't struggle to stay on top of things.",1,Never,Freezing cold,I read books every now and then,Both parents/guardians have a degree,I'm in the middle,I have my ups and downs,3,"Our income covers our needs and more, I don't need to worry about money."
1/8/2023 14:29:03,1,0,0,1,3,16,88.54%,3.63,4,1,Daily,Most of the time,I rarely work with people,"Strict, I am told to put my phone away whenever it's out.",Once a month,2,4,0,1,A few people talk together,24,I always study,0,They accept late work and do not take any points off for assignments being late,0,0,Multiple times every period,1,0,1,1,Always,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A little, they don't give us a lot to do.",1,Never,A little chilly,I rarely read books,Both parents/guardians have a degree,I'm in the middle,I feel down a decent amount of time,8,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 15:23:14,1,0,0,1,3,16,97.39%,4,10,1,Every few days,Most of the time,Most of the time I work with other people,"Strict, I am told to put my phone away whenever it's out.",A couple times in a semester,1,2,0,1,One or two people talk ocassionally,19,Sometimes I'll study,0,They accept late work and do not take any points off for assignments being late,0,0,A couple times every period,1,0,1,1,Sometimes,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A decent amount, I don't struggle to stay on top of things.",1,Rarely,Ideal temperature,I read frequently in my free time,Both parents/guardians have a degree,I'm the oldest,I have my ups and downs,7,"Our income covers our needs and more, I don't need to worry about money."
1/9/2023 18:43:50,1,1,1,0,3,17,69.79%,3.34,10,1,Once a week,Rarely,Sometimes I work with other people,"Very free, I can look at my phone whenever I want to.",Once a month,1,7,0,1,A few people talk together,18,I rarely study,0,They accept late work and do not take any points off for assignments being late,0,0,A couple times every period,1,0,1,1,Most of the time,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A decent amount, I don't struggle to stay on top of things.",1,Rarely,A little chilly,I read books every now and then,Both parents/guardians have a degree,I'm the oldest,I feel down a decent amount of time,5,"Our income covers our needs and a little more, I feel good about it."
1/11/2023 9:14:31,0,1,0,1,4,18,94.17%,3.74,3,0,Once every few weeks,Always,Sometimes I work with other people,"Very free, I can look at my phone whenever I want to.",A couple times in a semester,4,1,1,1,Lots of people talk and it's very loud,18,I never study,0,They accept late work and do not take any points off for assignments being late,1,0,I never talk in class,1,0,0,0,Never,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A little, they don't give us a lot to do.",1,Rarely,Ideal temperature,I read books every now and then,Neither parent/guardian has a degree,I'm the oldest,I feel down a decent amount of time,7,"Our income covers our needs and a little more, I feel good about it."
1/11/2023 9:15:35,0,0,1,1,4,17,97.80%,3.96,0,1,Every few days,Always,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Every other week,2,2,1,1,"No one talks to each other, it's very quiet",10,I always study,0,They accept late work and do not take any points off for assignments being late,1,1,Multiple times every period,1,0,0,1,Always,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",1,Never,Ideal temperature,I read every chance I can get,Both parents/guardians have a degree,I'm in the middle,I am very happy,8,"Our income covers our needs and more, I don't need to worry about money."
1/11/2023 9:16:28,0,1,0,1,4,18,91.20%,3.72,5,0,Once every few weeks,Most of the time,I rarely work with people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,1,2,0,1,"No one talks to each other, it's very quiet",15,Most of the time I will study,0,They accept late work and do not take any points off for assignments being late,0,0,Multiple times every period,1,0,0,1,Sometimes,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A little, they don't give us a lot to do.",1,Never,Ideal temperature,I rarely read books,Neither parent/guardian has a degree,I'm the youngest,I have my ups and downs,7,"Our income covers our needs and a little more, I feel good about it."
1/11/2023 9:17:07,0,0,1,1,4,17,95.90%,3.89,4,1,Once every few weeks,Always,Most of the time I work with other people,"Very free, I can look at my phone whenever I want to.",Once a month,4,3,1,1,Lots of people talk and it's very loud,17,I never study,0,They accept late work and do not take any points off for assignments being late,1,0,A couple times every period,1,0,1,1,Always,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",1,Rarely,Ideal temperature,I rarely read books,Both parents/guardians have a degree,I'm the only child,I am happy most of the time,7,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/11/2023 9:19:49,0,0,0,1,4,18,81.10%,3.55,9,0,Once every few weeks,Most of the time,I never work with people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,2,1,0,1,"No one talks to each other, it's very quiet",12,Sometimes I'll study,0,They accept late work and do not take any points off for assignments being late,1,0,I rarely talk in class,1,0,0,1,Sometimes,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",1,Never,Ideal temperature,I read books every now and then,Neither parent/guardian has a degree,I'm the oldest,I have my ups and downs,7,"Our income covers our needs and a little more, I feel good about it."
1/11/2023 9:20:03,0,0,1,1,4,18,89.87%,3.4,16,0,Every few days,Most of the time,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,1,2,0,1,Lots of people talk and it's very loud,17,Most of the time I will study,0,They accept late work and do not take any points off for assignments being late,1,0,A couple times every period,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",1,Rarely,Ideal temperature,I read books every now and then,Both parents/guardians have a degree,I'm the oldest,I have my ups and downs,7,"Our income covers our needs and a little more, I feel good about it."
1/11/2023 9:27:52,0,1,0,1,4,17,79.10%,NULL,8,1,Once every few weeks,Most of the time,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,4,0,0,1,A few people talk together,17,Sometimes I'll study,0,They accept late work but take off points for assignments being late,1,0,Multiple times every period,0,0,1,1,Always,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",1,Sometimes,A little chilly,I read every chance I can get,One parent/guardian has a degree,I'm in the middle,I am happy most of the time,5,"Our income covers our needs and a little more, I feel good about it."
1/11/2023 9:27:59,0,1,0,0,3,17,88.63%,3.96,5,0,Once every few weeks,Most of the time,Most of the time I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,3,1,0,1,Lots of people talk and it's very loud,15,I rarely study,0,They accept late work and do not take any points off for assignments being late,0,1,Multiple times every period,1,0,0,0,Rarely,"They are not very strict, but I need to work a little hard here and there.","A little, they don't give us a lot to do.",1,Sometimes,A little hot,I never read books,Both parents/guardians have a degree,I'm the youngest,I feel down a decent amount of time,7,"Our income covers our needs and more, I don't need to worry about money."
1/11/2023 9:31:06,0,0,1,0,3,16,85.71%,NULL,3,0,Every few days,Most of the time,I never work with people,"Strict, I am told to put my phone away whenever it's out.",Never,3,1,1,1,One or two people talk ocassionally,12,I always study,0,They accept late work but take off points for assignments being late,0,0,Once in a while,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A decent amount, I don't struggle to stay on top of things.",1,Never,Ideal temperature,I read frequently in my free time,Neither parent/guardian has a degree,I'm the oldest,I have my ups and downs,8,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/11/2023 9:36:47,0,1,0,1,4,18,94.11%,3.6,3,0,Once every few weeks,Always,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,2,4,1,1,One or two people talk ocassionally,16,Most of the time I will study,0,They accept late work and do not take any points off for assignments being late,1,0,A couple times every period,1,0,1,1,Rarely,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",1,Rarely,Ideal temperature,I read books every now and then,Both parents/guardians have a degree,I'm the oldest,I am happy most of the time,7,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/11/2023 11:29:16,0,1,0,1,4,17,90.66%,3.61,4,1,Every few days,Always,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,1,2,0,1,A few people talk together,15,Most of the time I will study,0,They accept late work but take off points for assignments being late,1,1,Multiple times every period,1,0,1,1,Always,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A little, they don't give us a lot to do.",1,Sometimes,Ideal temperature,I rarely read books,One parent/guardian has a degree,I'm the oldest,I am very happy,7,"Our income covers our needs and more, I don't need to worry about money."
1/11/2023 12:45:41,0,0,1,1,4,18,86.49%,2.9,19,0,Once every few weeks,Most of the time,I rarely work with people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,1,3,1,1,"No one talks to each other, it's very quiet",15,Most of the time I will study,0,They accept late work and do not take any points off for assignments being late,1,0,I rarely talk in class,1,0,0,0,Sometimes,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A little, they don't give us a lot to do.",1,Rarely,Ideal temperature,I read books every now and then,One parent/guardian has a degree,I'm the oldest,I have my ups and downs,8,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/11/2023 18:46:52,0,0,0,1,4,19,72.24%,NULL,9,1,Never,Most of the time,I rarely work with people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,1,3,0,1,A few people talk together,20,Sometimes I'll study,0,They accept late work but take off points for assignments being late,1,0,Multiple times every period,1,0,1,1,Always,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",1,Sometimes,Ideal temperature,I read frequently in my free time,One parent/guardian has a degree,I'm in the middle,I feel down a decent amount of time,7,"Our income just barely covers our needs, I often worry about it."
1/11/2023 21:39:21,0,1,0,1,4,18,66.69%,2.8,15,0,Once a week,Rarely,I rarely work with people,"Strict, I am told to put my phone away whenever it's out.",A couple times in a semester,1,5,0,1,Lots of people talk and it's very loud,17,I rarely study,0,They accept late work and do not take any points off for assignments being late,1,0,Once in a while,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A decent amount, I don't struggle to stay on top of things.",1,Sometimes,Ideal temperature,I never read books,One parent/guardian has a degree,I'm the youngest,I am happy most of the time,8,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/11/2023 23:06:43,1,0,0,1,2,16,86.97%,3.6,12,1,Every few days,Most of the time,I never work with people,"Very free, I can look at my phone whenever I want to.",A couple times in a semester,1,3,0,1,Lots of people talk and it's very loud,21,I always study,0,They accept late work but take off points for assignments being late,0,0,Once in a while,1,0,1,1,Most of the time,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A decent amount, I don't struggle to stay on top of things.",1,Rarely,Ideal temperature,I read frequently in my free time,One parent/guardian has a degree,I'm the youngest,I have my ups and downs,5,"Our income covers our needs, but budgeting stops us from getting things we want sometimes."
1/12/2023 15:47:02,0,0,1,1,4,18,90.05%,4,6,0,Once every few weeks,Always,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Once a month,3,3,0,1,Lots of people talk and it's very loud,23,I always study,0,They accept late work and do not take any points off for assignments being late,1,1,A couple times every period,1,0,1,1,Most of the time,They are very strict with what they want and it's hard to get a good grade.,"A decent amount, I don't struggle to stay on top of things.",1,Rarely,Ideal temperature,I read frequently in my free time,One parent/guardian has a degree,I'm in the middle,I have my ups and downs,7,"Our income covers our needs and more, I don't need to worry about money."
1/12/2023 20:54:58,1,0,0,1,4,17,93.41%,3.4545,8,0,Every few days,Most of the time,I rarely work with people,"Very free, I can look at my phone whenever I want to.",A couple times in a semester,3,5,0,0,A few people talk together,20,Sometimes I'll study,0,They accept late work and do not take any points off for assignments being late,0,1,I rarely talk in class,1,0,0,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A decent amount, I don't struggle to stay on top of things.",1,Never,Ideal temperature,I rarely read books,Neither parent/guardian has a degree,I'm the youngest,I have my ups and downs,6,"Our income covers our needs and a little more, I feel good about it."
1/13/2023 8:27:42,1,0,0,0,2,15,90.35%,4,27,1,Once every few weeks,Most of the time,Most of the time I work with other people,"Strict, I am told to put my phone away whenever it's out.",Never,2,1,0,1,Lots of people talk and it's very loud,20,I never study,0,They accept late work and do not take any points off for assignments being late,0,1,I rarely talk in class,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","None, they do not assign homework.",1,Never,Ideal temperature,I read frequently in my free time,Both parents/guardians have a degree,I'm the oldest,I am happy most of the time,8,"Our income covers our needs and more, I don't need to worry about money."
1/13/2023 9:26:28,1,0,0,1,2,15,69.33%,2.64,5,1,Never,Always,I rarely work with people,"Very free, I can look at my phone whenever I want to.",Never,3,3,1,1,A few people talk together,12,I always study,0,They accept late work and do not take any points off for assignments being late,0,0,I rarely talk in class,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","None, they do not assign homework.",1,Never,Ideal temperature,I never read books,Both parents/guardians have a degree,I'm the oldest,I am very happy,6,"Our income covers our needs and more, I don't need to worry about money."
1/13/2023 9:26:41,1,0,0,1,2,16,87.73%,3.57,7,1,Once every few weeks,Most of the time,Most of the time I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,2,2,1,0,A few people talk together,12,Most of the time I will study,0,They accept late work and do not take any points off for assignments being late,0,0,A couple times every period,1,0,1,1,Always,"They are not very strict, but I need to work a little hard here and there.","A little, they don't give us a lot to do.",1,Rarely,A little chilly,I read books every now and then,Both parents/guardians have a degree,I'm the oldest,I have my ups and downs,7,"Our income covers our needs and more, I don't need to worry about money."
1/13/2023 9:27:24,1,0,0,1,2,16,87.16%,2.92,7,1,Once every few weeks,Always,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",A couple times in a semester,2,3,1,1,A few people talk together,12,I always study,0,They accept late work and do not take any points off for assignments being late,0,0,A couple times every period,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","None, they do not assign homework.",1,Never,A little chilly,I read frequently in my free time,One parent/guardian has a degree,I'm the oldest,I have my ups and downs,6,"Our income covers our needs and a little more, I feel good about it."
1/13/2023 9:28:09,1,0,0,1,2,16,84.35%,3.5,18,1,Once a week,Sometimes,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Never,2,2,1,0,One or two people talk ocassionally,12,Sometimes I'll study,0,They accept late work and do not take any points off for assignments being late,0,1,A couple times every period,1,0,1,1,Sometimes,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A little, they don't give us a lot to do.",1,Never,A little chilly,I never read books,One parent/guardian has a degree,I'm the oldest,I am very happy,6,"Our income covers our needs and a little more, I feel good about it."
1/13/2023 9:28:40,1,1,1,1,2,15,79.98%,3.43,1,1,Once every few weeks,Always,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Once a month,2,2,1,1,A few people talk together,12,Sometimes I'll study,0,They accept late work and do not take any points off for assignments being late,0,1,Once in a while,1,0,1,1,Sometimes,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A little, they don't give us a lot to do.",1,Never,A little chilly,I read books every now and then,One parent/guardian has a degree,I'm the youngest,I am happy most of the time,6,"Our income covers our needs and more, I don't need to worry about money."
1/13/2023 9:29:21,1,0,0,1,2,15,88.98%,4,3,1,Daily,Most of the time,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Once a month,2,2,1,1,One or two people talk ocassionally,12,Most of the time I will study,0,They accept late work and do not take any points off for assignments being late,0,0,Multiple times every period,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","A little, they don't give us a lot to do.",1,Rarely,A little chilly,I read frequently in my free time,Both parents/guardians have a degree,I'm the only child,I have my ups and downs,6,"Our income covers our needs and more, I don't need to worry about money."
1/13/2023 9:29:47,1,1,1,1,2,15,82.27%,3.14,10,1,Once every few weeks,Most of the time,I rarely work with people,"Very free, I can look at my phone whenever I want to.",A couple times in a semester,2,3,1,1,A few people talk together,12,Sometimes I'll study,0,They accept late work and do not take any points off for assignments being late,0,0,Multiple times every period,1,0,1,1,Most of the time,"They are not very strict, but I need to work a little hard here and there.","A little, they don't give us a lot to do.",1,Rarely,A little hot,I never read books,Both parents/guardians have a degree,I'm the youngest,I am happy most of the time,8,"Our income covers our needs and more, I don't need to worry about money."
1/13/2023 9:30:27,1,0,0,1,2,15,65.65%,2.53,10,1,Once every few weeks,Most of the time,Most of the time I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Every other week,2,2,1,1,One or two people talk ocassionally,12,Sometimes I'll study,0,They accept late work and do not take any points off for assignments being late,0,1,A couple times every period,1,0,1,1,Most of the time,"It takes some effort to get a good grade, they grade fairly.","None, they do not assign homework.",1,Rarely,Ideal temperature,I never read books,Neither parent/guardian has a degree,I'm the oldest,I have my ups and downs,8,"Our income covers our needs and a little more, I feel good about it."
1/13/2023 9:30:37,1,0,0,1,2,16,78.43%,3.14,6,1,Once a week,Most of the time,I rarely work with people,"Somewhat strict, I am allowed on my phone outside of lectures.",Never,2,2,1,1,A few people talk together,12,Most of the time I will study,0,They accept late work and do not take any points off for assignments being late,0,0,A couple times every period,1,0,1,0,Rarely,They are somewhat strict with what they want and it takes quite some effort to get a good grade.,"A decent amount, I don't struggle to stay on top of things.",1,Never,A little chilly,I read books every now and then,Neither parent/guardian has a degree,I'm the oldest,I have my ups and downs,5,"Our income just barely covers our needs, I often worry about it."
1/13/2023 9:31:22,1,0,0,1,2,15,66.20%,2.14,7,1,Once every few weeks,Most of the time,Sometimes I work with other people,"Somewhat strict, I am allowed on my phone outside of lectures.",Every week,2,2,1,1,A few people talk together,12,Sometimes I'll study,0,They accept late work and do not take any points off for assignments being late,0,1,Multiple times every period,1,0,1,1,Most of the time,"They are not very strict, but I need to work a little hard here and there.","A little, they don't give us a lot to do.",1,Rarely,A little hot,I read every chance I can get,One parent/guardian has a degree,I'm in the middle,I feel down a decent amount of time,4,"Our income just barely covers our needs, I often worry about it."
